,Chemical,Vacated 1989 OSHA PELs
202,Hydrazine,TWA 0.1 ppm (0.1 mg/m3) [skin]
203,Hydrogenated terphenyls,TWA 0.5 ppm (5 mg/m3)
204,Hydrogen bromide,C 3 ppm (10 mg/m3)
206,Hydrogen cyanide,ST 4.7 ppm (5 mg/m3) [skin]
207,Hydrogen fluoride (as F),"TWA 3 ppm, ST 6 ppm"
208,Hydrogen sulfide,"TWA 10 ppm (14 mg/m3), ST 15 ppm (21 mg/m3)"
209,2-Hydroxypropyl acrylate,TWA 0.5 ppm (3 mg/m3) [skin]
210,Indene,TWA 10 ppm (45 mg/m3)
211,Indium,TWA 0.1 mg/m3
212,Iodoform,TWA 0.6 ppm (10 mg/m3)
213,Iron pentacarbonyl (as Fe,") TWA 0.1 ppm (0.8 mg/m3), ST 0.2 ppm (1.6mg/m3)"
214,"Iron salts (soluble, as Fe)",TWA 1 mg/m3
215,Isoamyl alcohol,"TWA 100 ppm (360 mg/m3), ST 125 ppm (450 mg/m3)"
216,(primary & secondary),
217,Isobutane,TWA 800 ppm (1900 mg/m3)
218,Isobutyl alcohol,TWA 50 ppm (150 mg/m3)
219,Isooctyl alcohol,TWA 50 ppm (270 mg/m3) [skin]
220,Isophorone,TWA 4 ppm (23 mg/m3)
221,Isophorone diisocyanate,"TWA 0.005 ppm, ST 0.02 ppm [skin]"
222,2-Isopropoxyethanol,TWA 25 ppm (105 mg/m3)
223,Isopropyl acetate,"TWA 250 ppm (950 mg/m3), ST 310 ppm (1185 mg/m3)"
225,Isopropyl alcohol,"TWA 400 ppm (980 mg/m3), ST 500 ppm (1225 mg/m3) P"
226,Isopropylamine,"TWA 5 ppm (12 mg/m3), ST 10 ppm (24 mg/m3) P"
228,N-Isopropylaniline,TWA 2 ppm (10 mg/m3) [skin]N
229,Isopropyl glycidyl ether,"TWA 50 ppm (240 mg/m3), ST 75 ppm (360mg/m3) D I"
230,Kaolin,"TWA 10 mg/m3 (total), TWA 5 mg/m3 (resp)X"
232,Ketene,"TWA 0.5 ppm (0.9 mg/m3), ST 1.5 ppm (3 mg/m3) G"
233,Magnesium oxide fume,TWA 10 mg/m3
234,Malathion,TWA 10 mg/m3 [skin]
235,Manganese compounds,Compounds: C 5 mg/m3
236,and fume (as Mn),"Fume: TWA 1 mg/m3, ST 3 mg/m3"
237,Manganese cyclopentadie,nylTWA 0.1 mg/m3 [skin]
238,tricarbonyl (as Mn),
239,Manganese tetroxide (as,Mn) TWA 1 mg/m3
240,"Mercury compounds, as H",g Hg Vapor: TWA 0.05 mg/m3 [skin]
241,[except (organo) alkyls],Non-alkyl compounds: C 0.1 mg/m3 [skin]
242,Mercury (organo) alkyl,"TWA 0.01 mg/m3, ST 0.03 mg/m3 [skin]"
243,compounds (as Hg),
